题号	答案	问题	1	2	3	4
1	D	我正在游戏里，号突然被踢下线了，是怎么回事？	有人利用我的二级密码通过在线服务系统申请踢号	有人利用我的账号注册身份证号码通过热线客服申请踢号	有人利用我的帐号注册信息通过客服申请踢号	以上几个方法都会造成踢号
2	D	我的游戏账号被盗后应该怎样做？	通过游戏F1界面的[被盗上报]登陆被盗自助系统进行上报	立即用绑定手机或绑定邮箱修改所有密码	立即打电话给客服申请暂时冻结帐号	以上几种方法都建议去做
3	A	锁魂物品被盗后能否找回？	锁魂物品是物品归属的唯一认证标准，可以100%无条件找回	根本无法找回	不一定能找回	找回几率很小
4	C	我的游戏[登陆密码]可能被别人知道了，如何更改登陆密码？	登陆pass.kingsoft.com通过二级密码重新设置	登陆pass.kingsoft.com通过绑定邮箱重新设置	几个方法都有效	我的二级密码和绑定邮箱都不记得了,打电话找客服
5	D	我的游戏[登陆密码]突然不正确，是怎么一回事?	我的二级密码被人盗取了	我的绑定邮箱或绑定手机被人盗取了	能修改登陆密码的权限密码或信息全部被盗取了	以上几种都有可能
6	C	我的游戏[二级密码]突然不正确，是怎么一回事？	我的绑定邮箱被人盗取了	我的绑定手机被人盗取了	我的绑定邮箱或绑定手机被人盗取了	我的登陆密码被人盗取了
7	C	我的绑定邮箱和绑定手机忘记了，怎样修改这些信息呢？	将我的账号身份证信息传真给客服进行修改	将我近期对这个账号的充值记录传真给客服进行修改	几个方法都适用	将能证明帐号身份的一切信息传真给客服进行修改
8	A	我买了个号，并对这个号进行了大量的充值，这个账号属于我吗？	账号的归属唯一判定标准是账号注册身份证	我充了值的号就是我的	买的号就是我的了	不管怎样都应该属于我
9	A	我游戏里的朋友告诉了我一个网站，有非常好玩的外挂，还可以复制装备、加强人物属性，得到大量经验，是真的吗？	游戏的任何数据都只能通过游戏内正常获得，这些都是带有盗号木马和病毒的网站，我千万不要相信	貌似很好很强大，我一定要试试	有空可以去看看	我还要叫上我的朋友去看看
10	C	有次我正和朋友玩的高兴，收到一个中奖信息，要我提供账号或密码来领奖，我真的中奖了吗？	天上不会掉馅饼，请一定要保持镇定，平常心，平常心。	我是坚决不会相信这些的。	其他三个观点一定要坚持	我还要告诉朋友千万不要相信
11	A	有个不太陌生的朋友，突然要加我QQ为好友，说要给我发视频和图片，我该相信吗？	视频和图片可能都是带有盗号木马和病毒的内容，请千万不要随意接受	多交交游戏朋友是不错的	我也想看看对方美到什么程度	对于视频和图片我从不拒绝
12	C	游戏的骗子经常怎样取名来冒充名人呢？	名字前后加空格或点	数字0和字母O混用	其他三个方法经常有人用	名字中夹杂很难辨识的混淆字
13	A	有个朋友说有便宜号卖给我，我很想买来用，这样安全吗？	非常不安全，我只有使用权	我相信朋友，他送我就是我的了	买了就归属我了	不管怎样都应该属于我
14	B	游戏有人卖我装备，但是前提需要我给一个账号充值，我觉得这样的交易还不错。	恩，我很快就去充值换装备给我	很明显的骗局，我坚决不会上当	要看装备的价值和充值金额定	我先去看看装备再说
15	C	下面行为哪些是安全的？	有朋友发给我一个网站链接，说是金山要给我发奖励，我想登陆进去看看	公聊有人介绍个网站是可以领取金币，我想去看看	其他都不安全	公聊有人说在他的QQ空间有个很好的程序，可以把我的角色变的很强大
16	A	据调查，网吧玩家登陆游戏后的被盗情况如何？	非常大，99%以上	在网吧很安全	很少	从不被盗
17	A	为什么在网吧登陆游戏非常不安全？	其他三条说的很对	多人共用计算机导致容易被人做手脚	许多黑心的网吧老板和网络管理人员本身就是靠盗号赚取不义之财的	有点网吧装有比较隐秘的设备
18	C	为什么我改了密码后反而被盗了？	我在修改密码的时候刚好被盗号者记录	有人监视我的键盘输入	其他三个方式都有可能	网吧旁有人在看我输入，把密码记录了
19	A	账号的绑定身份证怎么修改？	公司目前没有开放这个业务，账号绑定身份信息是不能修改的。	我用绑定手机来申请修改	我用充值记录来修改	打电话给金山客服去修改
20	D	F1被盗问题申请的在线系统，怎样处理问题的？	被盗自助处理系统可以在1-2个工作日获得被盗相关物品的查询结果	我需要自己再次登陆这个系统获得工作人员的问题处理进度和结果	我需要将受理编号记录下来方便查询	其他都正确
21	C	下面哪些是盗号木马或病毒？	“安德夫木马变种GLM”病毒、“安德夫木马变种GVS”病毒、AV终结者	灰鸽子、AUTO木马群、磁碟机、QQ尾巴	哇，太多了，这些全部都是盗号木马或病毒	MSN机器人、熊猫烧香、机器狗
