物品	描述
侠少布衣	青色的粗布衫，多为初入江湖的侠少配用
黑皂布衣	黑色的粗布衫，柔软而舒适，还可充当夜行衣应急
紫衿布衣	万仞寒潭中的“卧鱼”鱼脂浸泡过的奇特布衣，柔软而不易受力，沾水不湿
蟠龙绣	看似简陋，但穿上之后体内之气会在胸口汇成一条蟠龙，可防内功伤害
伤狼衣	塞外高手常用装束，仅以重革护肩，以示自身豪勇
掩心甲	柔软的兽皮外缝制了数块铜片和一块八宝嵌金掩心镜，可有效防止流矢
神行服	巴蜀精布织成的紧紧裹住身体的服装，可使全身肌肉紧绷，积蓄力量
青霜袍	衣甲内衬有道家辟魔真言，可抵御内家高手的剑气，多为成名高手所配用
贪狼衣	猎取塞北西陵大草原上的巨虎，硝皮制成，穿戴之后，自觉威风凛凛，不怒自威
赤铜胄	柔软的兽皮外缝制了数块铜制板甲，可对胸腹等要害位置进行防护
软金衣	厚布杂以黑色软铁编成的紧身服装，轻捷耐用
沧澜衣	由取自深海的稀有植物秘制而成的布衣，防御效果绝佳
蓝鲸皮甲	猎杀海中蓝鲸，用其皮制成的皮衣，异常腻滑，可卸解外力伤害
赤龙袍	赤红色缎袍，金丝绣龙，亦刚亦柔，十分名贵
天狼衣	猎取锦澜虎的皮硝制而成，内里缝制了一层稀薄的甲片，可抵御剑气突袭
冰蚕绸衫	百年冰蚕吐出的寒丝织成的绸衫，防御效果非凡
山鬼血衣	杀死山鬼，以其血涂其皮，凝固后形成的血皮衣，无上极品
天绛袍	衣甲夹层暗嵌一层金丝，可抵御内家高手的重击，多为成名高手所配用
侠少衣	用料甚少的布衫，穿上显得彪悍强壮
铁护肩	铁皮制成包住肩部的护肩，稍具防御力
兽头护肩	为一狰狞兽头形状，对江湖新手颇具威慑力
锦丝缠带	缠住上身的锦缎，柔软细致，可抵消部分内力伤害
豪侠衣	混迹江湖的豪客所穿，行侠仗义，豪气干云
金玉绸衫	以江浙名绸精织而成，镶金嵌玉，十分华贵
绿林装	啸聚山林的绿林好汉所穿，干练精悍
黄虎皮衣	珍贵的百年黄虎皮制成的衣服，虎的灵气尚存，紧急时能替寄主抵御伤害
神牛护甲	坚硬的五彩犀牛皮硝制的护皮，辅以银甲，具有很高的防御力
紫青霜华衫	置于雪山之巅，含霜吸雪，历经数年而成的缎衫，防风抗冰
虬髯客衣	隋末虬髯客张仲坚所穿衣服款式，游戏风尘，豪侠无双
千忍秘装	集聚无边杀气，遇神弑神，遇佛屠佛。
神策金甲	唐代禁军神策军头领的盔甲，历经百年而流传下来，防御超强
五雷亮银甲	天地水神摄五雷蕴于银甲之中，可抵御五行伤害
精钢炫金甲	精铁中提炼出来的纯钢制成的钢甲，坚硬度极高，且非常轻便
火蛛圣衫	居住在火山的火蜘蛛吐出的蛛丝织成的衣衫，水火不侵
血河鬼王铠	传说是钟馗收服地狱血河中的鬼王后得到的宝甲，群鬼莫不敬畏，因此极力拱护
龙霸乌金衣	极薄极柔的乌金织成的软衣，韧性极强，几乎能抵御任何伤害
彩裳	彩色薄纱制作的小衫，轻便舒适
紫菱裳	紫色薄纱制作的小衫，更添十分风流
紫绒裳	寻常绒布制成的女裳
心印裳	江南织造纺织作的彩裳，色彩绚丽，异常妖娆
武炼裳	江湖侠女与敌邀战时的装束，英气勃勃，威风异常
天魔裳	魔教女子练习天魔大法时的装束，可将天魔嗜魂舞的威力发挥到极致
炼甲裳	紫金链甲包裹的女衫，为主人提供不错的防护
浣花裳	蜀中浣花溪中沁染的彩裳，五彩的花汁染出奇异的图样，价值不凡
锦缨裳	江南神针织女观虎丘落樱有感而制作的锦裳，其中藏有独门神针织法
女杰裳	蜀中女杰山庄武士行道江湖时所穿装束，宵小之辈望影而逃
青灵裳	九华山青灵蛛丝制作的锦裳，异常柔韧，粘水不湿
红霓裳	相传神女织彩裳，绿者不慎流落人间，此衫可御水火，乃是异宝
鳞光甲衣	一千八百片鱼鳞甲片串成的女式战甲，英姿飒爽，防护较强
胡姬舞衣	胡姬歌舞时的装束，江南女侠梁紫玉曾以此假扮歌伎刺杀辽国天庆梁王
明光甲衣	以板甲制成的明光铠，防护较强，可抵长枪重弩
霓裳羽衣	唐开元年间的宫廷御装，因霓裳羽衣舞而为世人众知
天衣	式样古怪的女装，质料非绢非布，传说是天界的宝衣
飞天彩裳	沙门乐神吉祥天的宝衣，极尽曼妙之能事，悦目非常
羽裳	轻纱制作的女子小衫，极其轻便舒适
红云裳	红色轻纱制作的女子小衫，灿若红云，楚楚动人
紫劲衫	武林世家年幼女子常用小衫，英气逼人
灵运裳	武林世家年幼女子常用小衫，清新可人，灵动非常
巾帼衫	征战边塞卫国杀敌的娘子军标准装束，豪勇不让男儿半分
风雨裳	女侠行道江湖常用小衫，朴素大方
密云衫	边关陷阵营女子高手标准服饰，潜伏夜杀，无往不利
武斗裳	女子武学名家常用小衫，利落合体，落落大方，自有一派高手的风范
天蚕甲衣	选用上等天蚕丝织做的软甲，防身护体，威力惊人
绮罗裳	仿制御内女宫人服饰制作的锦裳，犹如轻云蔽月，瑰丽异常
天工斗衣	七巧匠为爱女精心织做的护身宝衣，可拒飞弩攒射，乃是异宝
玲珑裳	百花绣坊特制的锦裳，体态娇小的女子配用娇俏可人
兽王斗衣	铉金打造的女子护身宝甲，护肩兽王头像透露无边杀气
彩华裳	大周则天大圣金轮皇帝微服私访时所穿的女衫，天潢贵胄，威势逼人
逆云斗衣	妙手女空空自辽邦禁宫内偷得的萧太后护身宝衣，防护极强
锦云裳	碧落山神机府所出紫青神纱制作的女子小衫，灿若彩云，妩媚无双
无双斗衣	落迦山无双仙子的贴身宝衣，能避刀枪水火，无双无对，天下第一
五彩霓裳	五彩天罗制作的霓裳，夜间也能散发出五彩的光华，翩若谪仙
水火扇	炼丹时鼓动炉火的扇子
丹鼎	用来炼丹的鼎炉
乌金锤	锻造时用来击打铁坯的重锤
百炼行炉	锻造时用来灼烧铁坯的炭炉
冷月剪	织造护具时裁剪兽皮的钢剪
无痕针	织造护具时缝合甲片的梭针
庖丁菜刀	烹调菜肴时切菜的菜刀
禁铜冰鉴	酿酒时储酒的酒器
天毫笔	用来画符的毛笔
