文字	读音	字义
厷	gong第一声	古同“肱”。
厸	lin第二声	古同“邻”。
厹	rou第二声	古同“蹂”。
厺	qu第四声	古同“去”。
厽	lei第三声	垒土块为墙。
叀	zhuan第一声	纺砖，古代收丝用的一种器具。
叅	can第一声	古同“参”。
亝	qi第二声	古同“齐”。
叏	guai第二声	古同“夬”。
叐	ba第二声	狗跑的样子。
叒	ruo第四声	古同“若”
叓	li第四声	古同“吏”。
叕	zhuo第二声	短，不足：“圣人之思脩，愚人之思～。”
叜	sou第三声	古同“叟”。
叺	chi第三声	口气语，无定义。
吂	mang第二声	表示不肯之声。老年迟钝
吅	xuan第一声	古同“喧”，大声呼叫。
吘	ou第三声	和。
吙	huo第一声	吐气；吐气声。
吢	qin第四声	同“吣”。
吺	dou第一声	啰嗦，言多而不精练。
呄	ge第二声	富翁。财富多。
呅	wen第三声	古同“吻”。
呝	e第四声	古同“呃”。
呞	shi第一声	（牛）反刍。
呧	di第三声	古同“诋”。
呩	shi第四声	古同“嗜”。
呮	qi第四声	垂足坐。
呾	da第二声	呵斥。
咃	tuo第一声	《大日经》译音用字。
咟	huo第四声	叫呼。
咠	qi第四声	附耳私语声。
咰	shu第四声	饮。如饮酒。
咹	e第四声	小语。
咺	xuan第三声	小孩哭泣：“悲愁於邑，不～可止兮。”
哊	you第四声	呕吐
哋	die第四声	佛教咒语用字
哠	hao第四声	多话
哣	pou第三声	古同“咅”
哤	mang第二声	语言杂乱
哫	zu第二声	叹词，表示斥责
哬	he第四声	众声
哵	ba第一声	鸟叫声
哶	mie第一声	古同“咩”
哷	lie第四声	鸡鸣
哸	sui第一声	古同“嗺”，催饮（酒）
哹	fu第二声	吹气声
哻	han第一声	古同“鼾”
哾	chuo第四声	古同“啜”。
哿	ge第三声	表示称许。
唀	you第四声	古同“诱”，诱骗。
唃	gu第一声	古同“唂”。
唈	yi第四声	〔呜～〕义同“呜咽”，低声哭泣
唕	zao第四声	同“唣”。
唘	qi第三声	古同“启”。
唴	qiang第四声	哭泣不止。
啎	wu第三声	古同“牾”，背逆；抵触。
喒	zan第二声	同“咱”。
喢	sha第四声	古同“歃”，盟誓时用嘴吸取（牲血）。
喣	xu第三声	吐（唾沫）：“～沫求涓滴。”
喥	duo第二声	语言无度。
喦	yan第二声	同“岩”。
喯	pen第四声	象声词：“……～的一声痛哭起来了。”
喼	jie第一声	方言，箱子：藤～。皮～。
喿	zao第四声	古同“噪”。
嗀	hu第四声	呕吐。
嗁	ti第二声	同“啼”。
嗃	he第四声	严酷的样子。
嗋	xie第二声	闭合：“予口张而不能～。”
嗕	ru第四声	中国古代北方部族名。
嗗	wa第一声	吞咽声。
嗼	mo第四声	静，寂静：“饥马盈厩～然，未见刍也。”
嘂	jiao第四声	古书上说的一种乐器，即“大埙”。
囒	lan第二声	〔～哰〕言语烦絮不可解。
囐	yan第四声	古同“唁”，吊唁。
囏	jian第一声	古同“艰”。
囎	zeng第四声	日本地名用字，无实义。
囆	chai第四声	古人名。
囃	za第二声	〔嘈～〕古同“嘈杂”，（声音）杂乱而喧闹。
嚿	huo第四声	夸。
嚽	chuo第四声	古同“啜”，吃。
嚻	xiao第一声	古同“嚣”。
嚺	ta第四声	同“嚃”。不咀嚼而咽下。
嚹	la第二声	方言，语气词，相当于“了”：佢嚟～（他来了）。
嚵	chan第二声	尝。
嚱	xi第一声	叹词：“噫吁～，危乎高哉！”
嚭	pi第三声	大。
嚫	chen第四声	梵语“达嚫”简称，指布施（僧尼）。
嚪	dan第四声	古同“啖”。
嚧	lu第二声	〔～～〕唤猪声。
囘	hui第二声	古同“回”。
囙	yin第一声	古同“因”。
囜	nin第二声	贤。
囦	yuan第一声	古同“渊”。
囧	jiong第三声	古同“冏”。
囨	pian第一声	唾弃和斥责声，相当于“呸”。
囩	yun第二声	古代土地面积单位，十二顷。
囲	wei第二声	古同“围”。
囶	guo第二声	古同“国”。
囸	ri第四声	古同“日”。
囼	tai第一声	古同“胎”。
圁	yin第二声	〔～水〕古水名，上游即今中国内蒙古自治区的乌兰木伦河，下游即今中国陕西省的窟野河。
圅	han第二声	同“函”。
圐	ku第一声	〔～圙〕蒙古语“库伦”的旧译，指围起来的草场，多用于村镇名。
圑	pu第三声	古同“圃”。
圔	ya第四声	（音乐声）低回。
圕	tuan第一声	“图书馆”三字的缩写。
圗	tu第二声	古同“图”。
圚	hui第四声	圈套：圈～。“我恰待踏折他花套竿，撞出锦～头。”
圛	yi第四声	（云气）连接不断。
圝	luan第二声	古同“圞”。圆 。
壥	chan第二声	古同“廛”。
壣	lin第二声	菜畦：“芜菁秀出～。”
壡	rui第三声	古同“睿”。
壝	wei第二声	古代祭坛四周的矮墙：“掌设王之社～。”
壛	yan第二声	〔步～〕长廊，如“曲屋～～。”
壔	dao第三声	土堡：“今有方堢～。”
壏	xian第四声	坚硬结实的土。
壄	ye第三声	“野”的讹字。
墿	yi第四声	道路。
壱	yi第一声	古同“壹”。
